980.69, 595.86,1
237.3, 475.9,1
-559.74, 494.51,1
-470.33, -457.97,1
-394.36, 969.51,1
710.61, 345.28,1
-410.68, -338.14,1
8.57, 851.39,1
-563.87, 617.41,1
221.92, -240.85,1
835.48, 620.37,1
958.57, 462.73,1
901.02, -796.61,1
414.68, 26.89,1
-945.78, 540.22,1
-896.25, 528.52,1
830.67, -369.54,1
23.76, -726.26,1
-368.22, 104.98,1
319.01, -145.04,1
281.01, 711.2,1
231.86, -113.5,1
-960.69, 78.4,1
-827.78, -274.99,1
612.91, -387.35,1
866.12, -983.6,1
192.84, -633.98,1
888.48, -878.85,1
-346.78, 615.59,1
34.32, -392.76,1
-177.11, -975.63,1
-819.43, -548.2,1
929.19, -824,1
847.72, 356.77,1
-198.92, -749.93,1
18.84, 589.1,1
-103.62, -278.34,1
963.01, 988.95,1
733.95, -677.69,1
760.09, 478.35,1
-992.66, -460.1,1
-548.13, -491.2,1
-738.89, 835.58,1
834, 198.23,1
-257.05, -690.48,1
-921.26, -835.84,1
486.91, 172.13,1
-706.14, 768.25,1
883.84, 335.66,1
-877.36, -778.85,1
786.72, -427.1,1
-213.08, -875.66,1
615.08, -684.45,1
-486.95, -38.22,1
184.59, 52.52,1
49.83, -577.67,1
-163.05, -179.86,1
91.75, 46.62,1
812.89, -319.18,1
494.93, 693.64,1
827.79, 854.24,1
-454.76, 208,1
442.82, 834.04,1
901.66, -761.66,1
-670.71, -360.23,1
797.11, -491.6,1
-363.56, 374.63,1
555.25, 629.04,1
855.92, -198.45,1
-959.7, 918.89,1
744.46, 717.87,1
-894.64, -818.21,1
-938.25, -341.83,1
-894.65, -837.26,1
-891.82, -581.48,1
425.63, 571.68,1
-203.4, -985.84,1
988.95, -589.45,1
994.7, -272.83,1
477.81, 63.52,1
-34.49, 599.09,1
878.99, -178.84,1
-8.5, 426.65,1
-575.1, 236.57,1
192.1, 856.1,1
995.12, 459.21,1
798.29, -572.2,1
979.06, -794.34,1
172.09, -392.83,1
23.74, -849.12,1
531.53, 778.32,1
734.32, 527.34,1
257.08, -978.63,1
227.14, 801.12,1
-743.46, 492.48,1
-722.01, -904.38,1
45.17, 890.77,1
-354.66, 448.03,1
798.03, -475.22,1
124.72, 971.66,1
